ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1014572,777,Studio,21,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Straße,(Nebenkosten inklusive),1. Juni
1495641,450,WG-Zimmer,11,1 Mitbewohner(in),Studentenwohnungen,Rhinstraße,(einige Nebenkosten inklusive),1. Juni
1019442,788,Studio,19,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Straße,(Nebenkosten inklusive),16. Juni
1508249,1350,Studio,35,Max. 2 Personen,Privater Vermieter,Oldenburger Straße,(Nebenkosten inklusive),29. Mai
1521567,1350,Studio,48,Max. 1 Person,Privater Vermieter,Weserstraße,(Nebenkosten inklusive),3. Juni
551278,1350,Wohnung,27,1 Schlafzimmer,Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1521622,870,Wohnung,12.21,1 Schlafzimmer,Studentenwohnungen,Leibnizstraße,(Nebenkosten inklusive),29. Mai
1522119,995,Studio,18,Max. 1 Person,Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),1. Aug.
1285015,659,WG-Zimmer,8,8  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Straße,(Nebenkosten inklusive),11. Juli
1514739,710,WG-Zimmer,10,6  Mitbewohner(innen),Vermietungsunternehmen,Turiner Straße,(Nebenkosten inklusive),29. Mai
1054925,710,WG-Zimmer,12,4  Mitbewohner(innen),Co-living,Nazarethkirchstraße,(Nebenkosten inklusive),29. Mai
1420792,780,WG-Zimmer,13,9  Mitbewohner(innen),Vermietungsunternehmen,Mohrenstraße,(Nebenkosten inklusive),1. Aug.
998541,710,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Schulstraße,(Nebenkosten inklusive),1. Aug.
749039,660,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bandelstraße,(Nebenkosten inklusive),16. Aug.
1519963,1500,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Luisenstraße,(Nebenkosten inklusive),29. Mai
1492254,665,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Wühlischstraße,(Nebenkosten inklusive),22. Juli
1112135,685,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Wühlischstraße,(Nebenkosten inklusive),23. Juli
1509833,670,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Buckower Damm,(Nebenkosten inklusive),29. Mai
1129492,1550,Studio,55,Max. 2 Personen,Vermietungsunternehmen,Gipsstraße,(Nebenkosten inklusive),1. Juli
749185,620,WG-Zimmer,13,2  Mitbewohner(innen),Vermietungsunternehmen,Neltestraße,(Nebenkosten inklusive),16. Juli
870216,570,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Plönzeile,(Nebenkosten inklusive),16. Aug.
1178825,640,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Zechliner Straße,(Nebenkosten inklusive),1. Juli
995622,690,WG-Zimmer,13,3  Mitbewohner(innen),Vermietungsunternehmen,Bismarckstraße,(Nebenkosten inklusive),1. Juli
1315726,689,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Wisbyer Straße,(Nebenkosten inklusive),10. Juli
1235804,1220,Studio,31,Max. 2 Personen,Privater Vermieter,Reuterstraße,(Nebenkosten inklusive),5. Juni
902458,1195,Wohnung,26,1 Schlafzimmer,Vermietungsunternehmen,Osnabrücker Straße,(Nebenkosten inklusive),28. Juni
1363218,1350,Wohnung,33,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1236830,1350,Wohnung,33,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1069738,705,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1025968,1350,Wohnung,32,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1236831,1350,Wohnung,35,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),18. Juli
1172286,590,WG-Zimmer,10,7  Mitbewohner(innen),Vermietungsunternehmen,Residenzstraße,(Nebenkosten inklusive),1. Juni
1146029,887,Studio,17,Max. 1 Person,Studentenwohnungen,Büchnerweg,(Nebenkosten inklusive),1. Sept.
1114339,720,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),1. Juni
1475802,720,WG-Zimmer,21,6  Mitbewohner(innen),Vermietungsunternehmen,Kantstraße,(Nebenkosten inklusive),16. Juli
1285010,719,WG-Zimmer,10,8  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Straße,(Nebenkosten inklusive),16. Juli
552722,1350,Wohnung,26,1 Schlafzimmer,Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1297825,1290,Studio,22,Max. 1 Person,Vermietungsunternehmen,Reinickendorfer Straße,(Nebenkosten inklusive),1. Juli
1258208,710,WG-Zimmer,14,12  Mitbewohner(innen),Vermietungsunternehmen,Heerstraße,(Nebenkosten inklusive),1. Juni
1039717,710,WG-Zimmer,18,2  Mitbewohner(innen),Vermietungsunternehmen,Treseburger Ufer,(Nebenkosten inklusive),1. Juni
1471627,640,WG-Zimmer,10,5  Mitbewohner(innen),Vermietungsunternehmen,Reinickendorfer Straße,(Nebenkosten inklusive),19. Juli
924439,690,WG-Zimmer,13,7  Mitbewohner(innen),Vermietungsunternehmen,Sternstraße,(Nebenkosten inklusive),1. Aug.
1522094,654,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),29. Mai
1522084,654,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),29. Mai
1522081,654,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),29. Mai
1425595,1050,Studio,33,Max. 2 Personen,Privater Vermieter,Straße am Schildhorn,(Nebenkosten inklusive),29. Mai
1522085,654,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),1. Juni
1105796,640,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Nürnberger Straße,(Nebenkosten inklusive),1. Juni
1466657,1700,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,Krausnickstraße,(Nebenkosten inklusive),29. Mai
1130936,1700,Wohnung,56,1 Schlafzimmer,Privater Vermieter,Torstraße,(Nebenkosten inklusive),26. Juli
1444048,1450,Studio,40,Max. 2 Personen,Vermietungsunternehmen,Braunschweiger Straße,(Nebenkosten inklusive),3. Juni
1482727,1167,Wohnung,20,1 Schlafzimmer,Vermietungsunternehmen,Hauptstraße,(Nebenkosten inklusive),19. Juli
933304,710,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Hohenzollerndamm,(Nebenkosten inklusive),1. Aug.
1298876,740,WG-Zimmer,16,2  Mitbewohner(innen),Vermietungsunternehmen,Lauterberger Straße,(Nebenkosten inklusive),29. Mai
1522090,1177,Studio,32,Max. 1 Person,Vermietungsunternehmen,Lindenstraße,(Nebenkosten inklusive),1. Juni
1443738,1458,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,Braunschweiger Straße,(Nebenkosten inklusive),3. Juni
1522083,680,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),29. Mai
1039998,615,WG-Zimmer,9,6  Mitbewohner(innen),Vermietungsunternehmen,Hermannstraße,(Nebenkosten inklusive),23. Juli
1516566,1700,Studio,20,Max. 2 Personen,Vermietungsunternehmen,Elisabethkirchstraße,(Nebenkosten inklusive),1. Aug.
1114359,770,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1067675,650,WG-Zimmer,18,3  Mitbewohner(innen),Vermietungsunternehmen,Tempelhofer Weg,(Nebenkosten inklusive),1. Juni
1007963,750,WG-Zimmer,15,2  Mitbewohner(innen),Vermietungsunternehmen,Treseburger Ufer,(Nebenkosten inklusive),1. Juni
1007362,750,WG-Zimmer,24,1 Mitbewohner(in),Vermietungsunternehmen,Braunlager Straße,(Nebenkosten inklusive),1. Juli
906192,650,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Flughafenstraße,(Nebenkosten inklusive),1. Juli
1267910,760,WG-Zimmer,21,8  Mitbewohner(innen),Vermietungsunternehmen,Uhlandstraße,(Nebenkosten inklusive),1. Aug.
998446,760,WG-Zimmer,20,1 Mitbewohner(in),Vermietungsunternehmen,Friedrichsbrunner Straße,(Nebenkosten inklusive),1. Aug.
1521856,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1521854,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1521853,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
888743,1500,Wohnung,45,1 Schlafzimmer,Privater Vermieter,Bergmannstraße,(Nebenkosten inklusive),29. Mai
1518893,1500,Wohnung,54,1 Schlafzimmer,Vermietungsunternehmen,Proskauer Straße,(Nebenkosten inklusive),1. Juni
1522105,1218,Studio,30,Max. 1 Person,Vermietungsunternehmen,Allee der Kosmonauten,(Nebenkosten inklusive),1. Juli
1205913,750,WG-Zimmer,16,5  Mitbewohner(innen),Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1129231,750,WG-Zimmer,15,6  Mitbewohner(innen),Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1007271,790,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Greifswalder Straße,(Nebenkosten inklusive),1. Juli
1007259,770,WG-Zimmer,18,2  Mitbewohner(innen),Vermietungsunternehmen,Potsdamer Straße,(Nebenkosten inklusive),1. Juli
1101026,690,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Straße,(Nebenkosten inklusive),1. Aug.
1477310,640,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Spiegelweg,(Nebenkosten inklusive),4. Aug.
1100117,1125,Wohnung,38,1 Schlafzimmer,Privater Vermieter,Wildenbruchstraße,(Nebenkosten inklusive),1. Nov.
1245179,1380,Studio,36,Max. 2 Personen,Vermietungsunternehmen,Knaackstraße,(einige Nebenkosten inklusive),1. Juni
1114275,800,WG-Zimmer,14,5  Mitbewohner(innen),Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1034162,1650,Studio,41,Max. 2 Personen,Vermietungsunternehmen,Inselstraße,(Nebenkosten inklusive),1. Juni
1448608,749,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Neue Bahnhofstraße,(Nebenkosten inklusive),1. Juli
1375550,1800,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,Bergstraße,(Nebenkosten inklusive),1. Juli
996718,630,WG-Zimmer,11,10  Mitbewohner(innen),Vermietungsunternehmen,Kantstraße,(Nebenkosten inklusive),1. Juli
1138857,799,WG-Zimmer,10,2  Mitbewohner(innen),Vermietungsunternehmen,Wisbyer Straße,(Nebenkosten inklusive),4. Juli
1323706,799,WG-Zimmer,13,2  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),23. Juli
1105846,700,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Zwinglistraße,(Nebenkosten inklusive),1. Aug.
1467238,1300,Wohnung,40,1 Schlafzimmer,Privater Vermieter,Otto-Braun-Straße,(Nebenkosten inklusive),1. Juli
982472,1300,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Heidenfeldstraße,(Nebenkosten inklusive),1. Juli
1297824,1090,Studio,22,Max. 1 Person,Vermietungsunternehmen,Reinickendorfer Straße,(Nebenkosten inklusive),29. Mai
998550,800,WG-Zimmer,13,2  Mitbewohner(innen),Vermietungsunternehmen,Potsdamer Straße,(Nebenkosten inklusive),1. Aug.
1039822,700,WG-Zimmer,13,6  Mitbewohner(innen),Vermietungsunternehmen,Soldiner Straße,(Nebenkosten inklusive),16. Aug.
1254734,750,WG-Zimmer,15,4  Mitbewohner(innen),Studentenwohnungen,Leibnizstraße,(Nebenkosten inklusive),29. Mai
1268408,1429,Studio,20,Max. 1 Person,Co-living,Pestalozzistraße,(Nebenkosten inklusive),1. Juni
1102786,650,WG-Zimmer,13,7  Mitbewohner(innen),Vermietungsunternehmen,Martin-Luther-Straße,(Nebenkosten inklusive),16. Juni
1507937,1600,Studio,45,Max. 2 Personen,Privater Vermieter,Kurfürstendamm,(einige Nebenkosten inklusive),29. Mai
1110670,1200,Studio,25,Max. 2 Personen,Vermietungsunternehmen,Buchholzer Straße,(Nebenkosten inklusive),29. Mai
810647,680,WG-Zimmer,11,5  Mitbewohner(innen),Vermietungsunternehmen,Damerowstraße,(Nebenkosten inklusive),1. Juli
717023,660,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Petersburger Straße,(Nebenkosten inklusive),1. Juli
1099619,625,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1493867,695,WG-Zimmer,12,2  Mitbewohner(innen),Vermietungsunternehmen,Simmelstraße,(Nebenkosten inklusive),1. Aug.
1476189,715,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,Libauer Straße,(Nebenkosten inklusive),4. Aug.
1489802,785,WG-Zimmer,12,2  Mitbewohner(innen),Vermietungsunternehmen,Sültstraße,(Nebenkosten inklusive),29. Mai
1521540,1700,Wohnung,50,1 Schlafzimmer,Vermietungsunternehmen,Schönhauser Allee,(Nebenkosten inklusive),29. Mai
1343795,1350,Studio,31,Max. 1 Person,Vermietungsunternehmen,Mariannenplatz,(Nebenkosten inklusive),29. Mai
661903,1350,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,Emser Straße,(Nebenkosten inklusive),1. Juni
511768,1350,Wohnung,35,1 Schlafzimmer,Vermietungsunternehmen,Eisenbahnstraße,(Nebenkosten inklusive),1. Juni
969398,580,WG-Zimmer,7,3  Mitbewohner(innen),Vermietungsunternehmen,Prinzenallee,(Nebenkosten inklusive),16. Juni
999229,1390,Studio,40,Max. 2 Personen,Vermietungsunternehmen,Helmholtzstraße,(Nebenkosten inklusive),20. Juni
1452399,499,WG-Zimmer,20,5  Mitbewohner(innen),Privater Vermieter,Tollerstraße,(Nebenkosten inklusive),1. Juli
1072731,1700,Wohnung,46,1 Schlafzimmer,Privater Vermieter,Brandenburgische Straße,(Nebenkosten inklusive),1. Juli
1510998,1735,Wohnung,76,2 Schlafzimmer,Vermietungsunternehmen,Donaustraße,(Nebenkosten inklusive),1. Juni
1444076,1735,Wohnung,52,1 Schlafzimmer,Vermietungsunternehmen,Braunschweiger Straße,(Nebenkosten inklusive),3. Juni
1452113,825,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Tauroggener Straße,(Nebenkosten inklusive),4. Juni
1521578,1495,Wohnung,52,1 Schlafzimmer,Vermietungsunternehmen,Schweidnitzer Straße,(Nebenkosten inklusive),15. Juni
1025928,950,WG-Zimmer,16,2  Mitbewohner(innen),Co-living,Stralauer Allee,(Nebenkosten inklusive),17. Juni
1029808,710,WG-Zimmer,11,2  Mitbewohner(innen),Vermietungsunternehmen,Kottbusser Damm,(Nebenkosten inklusive),1. Juli
1100932,660,WG-Zimmer,13,3  Mitbewohner(innen),Vermietungsunternehmen,Stephanstraße,(Nebenkosten inklusive),1. Aug.
1027565,950,WG-Zimmer,17,2  Mitbewohner(innen),Vermietungsunternehmen,Markgrafendamm,(Nebenkosten inklusive),1. Aug.
1424983,850,WG-Zimmer,18,2  Mitbewohner(innen),Vermietungsunternehmen,Lindauer Allee,(Nebenkosten inklusive),1. Juli
1177584,907,Studio,17,Max. 1 Person,Studentenwohnungen,Stralsunder Straße,(Nebenkosten inklusive),16. Juli
1025523,650,WG-Zimmer,8,3  Mitbewohner(innen),Vermietungsunternehmen,Kottbusser Damm,(Nebenkosten inklusive),1. Aug.
998444,700,WG-Zimmer,16,2  Mitbewohner(innen),Vermietungsunternehmen,Lauterberger Straße,(Nebenkosten inklusive),1. Aug.
1515486,845,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Einbecker Straße,(Nebenkosten inklusive),4. Aug.
1211840,790,WG-Zimmer,20,2  Mitbewohner(innen),Vermietungsunternehmen,Palisadenstraße,(Nebenkosten inklusive),8. Juli
1451733,956,WG-Zimmer,13,4  Mitbewohner(innen),Vermietungsunternehmen,Wilhelmstraße,(Nebenkosten inklusive),19. Juli
1108034,740,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Greifswalder Straße,(Nebenkosten exklusive),1. Aug.
1135689,1050,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Dolziger Straße,(Nebenkosten exklusive),1. Aug.
1451742,805,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Straße,(Nebenkosten inklusive),4. Aug.
1110668,1000,Studio,18,Max. 2 Personen,Vermietungsunternehmen,Buchholzer Straße,(Nebenkosten inklusive),1. Okt.
1514665,780,WG-Zimmer,10,5  Mitbewohner(innen),Vermietungsunternehmen,Turiner Straße,(Nebenkosten inklusive),29. Mai
1432927,1400,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,Pücklerstraße,(Nebenkosten inklusive),1. Juli
1414724,1850,Wohnung,55,2 Schlafzimmer,Privater Vermieter,Koppenstraße,(Nebenkosten inklusive),1. Juli
964148,680,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Hohenzollerndamm,(Nebenkosten inklusive),1. Juli
632413,1400,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,Böckhstraße,(Nebenkosten inklusive),1. Juli
1521613,600,WG-Zimmer,16.22,4  Mitbewohner(innen),Studentenwohnungen,Leibnizstraße,(Nebenkosten inklusive),29. Mai
1508538,650,WG-Zimmer,13,4  Mitbewohner(innen),Vermietungsunternehmen,Glienicker Straße,(Nebenkosten inklusive),29. Mai
1508534,650,WG-Zimmer,13,4  Mitbewohner(innen),Vermietungsunternehmen,Glienicker Straße,(Nebenkosten inklusive),29. Mai
1272350,1295,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Immanuelkirchstraße,(Nebenkosten inklusive),1. Juni
1304059,1900,Wohnung,61,1 Schlafzimmer,Privater Vermieter,Kurfürstenstraße,(Nebenkosten inklusive),1. Juli
1441420,836,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Straße,(Nebenkosten inklusive),19. Juli
1508515,650,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Glienicker Straße,(Nebenkosten inklusive),1. Aug.
1446508,1725,Wohnung,59,1 Schlafzimmer,Privater Vermieter,Grünauer Straße,(einige Nebenkosten inklusive),1. Aug.
1120573,1140,Studio,30,Max. 2 Personen,Vermietungsunternehmen,Jansastraße,(Nebenkosten inklusive),10. Nov.
1521143,700,Wohnung,25,1 Schlafzimmer,Privater Vermieter,Wollankstraße,(Nebenkosten inklusive),29. Mai
1501618,770,WG-Zimmer,11,2  Mitbewohner(innen),Vermietungsunternehmen,Müllerstraße,(Nebenkosten inklusive),29. Mai
1490166,770,WG-Zimmer,12,2  Mitbewohner(innen),Vermietungsunternehmen,Müllerstraße,(Nebenkosten inklusive),29. Mai
1489808,770,WG-Zimmer,10,2  Mitbewohner(innen),Vermietungsunternehmen,Müllerstraße,(Nebenkosten inklusive),29. Mai
1464381,930,WG-Zimmer,34,,Vermietungsunternehmen,Müllerstraße,(Nebenkosten exklusive),29. Mai
1000480,1290,Studio,43,Max. 2 Personen,Vermietungsunternehmen,Brüsseler Straße,(Nebenkosten inklusive),29. Mai
1087724,675,WG-Zimmer,9,2  Mitbewohner(innen),Vermietungsunternehmen,Gabriel-Max-Straße,(Nebenkosten inklusive),18. Juni
1240098,1800,Wohnung,65,1 Schlafzimmer,Vermietungsunternehmen,Lückstraße,(Nebenkosten inklusive),1. Juli
1100960,650,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Petersburger Straße,(Nebenkosten inklusive),1. Juli
1036578,615,WG-Zimmer,9,2  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),8. Juli
1101300,650,WG-Zimmer,9,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Straße,(Nebenkosten inklusive),1. Aug.
1077727,650,WG-Zimmer,8,3  Mitbewohner(innen),Vermietungsunternehmen,Müllerstraße,(Nebenkosten inklusive),1. Aug.
753762,650,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Alt-Moabit,(Nebenkosten inklusive),1. Aug.
1471580,881,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Straße,(Nebenkosten inklusive),19. Aug.
1522096,1597,Wohnung,47,1 Schlafzimmer,Vermietungsunternehmen,Lehrter Straße,(Nebenkosten inklusive),29. Mai
760812,770,WG-Zimmer,17,2  Mitbewohner(innen),Privater Vermieter,Lübener Weg,(Nebenkosten inklusive),29. Mai
1522098,1172,Studio,36,Max. 1 Person,Vermietungsunternehmen,Lindenstraße,(Nebenkosten inklusive),1. Juni
1000641,1895,Wohnung,48,2 Schlafzimmer,Co-living,Kurfürstenstraße,(Nebenkosten inklusive),1. Juni
1503856,895,WG-Zimmer,16,3  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Straße,(Nebenkosten inklusive),4. Juni
997751,1490,Wohnung,35,1 Schlafzimmer,Vermietungsunternehmen,Karl-Kunger-Straße,(Nebenkosten inklusive),10. Juni
967576,1320,Wohnung,32,1 Schlafzimmer,Vermietungsunternehmen,Thaerstraße,(Nebenkosten inklusive),8. Juli
1510238,2800,Wohnung,114,3 Schlafzimmer,Privater Vermieter,Kienitzer Straße,(Nebenkosten inklusive),29. Juli
